Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Indoor Cycling,"Mon, 23 Nov 2015 10:38 PM",24:33,0.01,--,0.0,0,0,20,36,
 false,Indoor Cycling,"Mon, 23 Nov 2015 10:10 PM",23:39,0.03,--,0.1,0,0,64,36,
 false,Strength Training,"Mon, 23 Nov 2015 8:53 PM",1:11:53,0.62,--,0.5,0,0,"1,284",138,
 false,Walking,"Mon, 23 Nov 2015 1:00 AM",1:12:00,0.00,--,--:--,--,--,--,538,
 false,Running,"Sun, 22 Nov 2015 7:12 AM",1:49:38,10.57,98,10:22,--,--,"17,192","1,419",
 false,Strength Training,"Sat, 21 Nov 2015 7:11 PM",1:35:33,1.84,--,1.2,117,152,"3,702",790,
 false,Strength Training,"Thu, 19 Nov 2015 8:01 PM",1:24:29,0.85,--,0.6,115,145,"1,762",754,
 false,Treadmill Running,"Thu, 19 Nov 2015 6:50 PM",34:44,3.40,--,10:13,156,162,"5,524",436,
 false,Running,"Wed, 18 Nov 2015 9:16 PM",28:12,2.63,--,10:43,133,147,"4,328",328,
 false,Treadmill Running,"Tue, 17 Nov 2015 7:37 PM",32:27,2.62,--,12:23,153,174,"4,486",434,
 false,Treadmill Running,"Mon, 16 Nov 2015 9:22 PM",41:03,0.94,--,43:37,106,124,"1,946",317,
 false,Strength Training,"Mon, 16 Nov 2015 7:17 PM",1:55:52,1.52,--,0.8,116,154,"3,078","1,043",
 false,Running,"Sun, 15 Nov 2015 5:34 AM",3:29:11,19.93,121,10:30,--,--,"33,050","2,670",
 false,Running,"Fri, 13 Nov 2015 8:42 PM",4:02,0.24,--,17:02,143,157,404,41,
 false,Strength Training,"Fri, 13 Nov 2015 6:23 PM",1:59:37,0.65,--,0.3,127,160,"1,346","1,222",
 false,Strength Training,"Mon, 9 Nov 2015 8:06 PM",1:52:24,1.72,--,0.9,113,150,"3,498",975,
 false,Running,"Sun, 8 Nov 2015 5:51 AM",3:19:47,18.65,505,10:43,--,--,"31,532","2,427",
 false,Strength Training,"Wed, 4 Nov 2015 8:06 PM",1:14:06,0.41,--,0.3,121,157,856,718,
 false,Running,"Wed, 4 Nov 2015 7:23 PM",24:34,2.32,--,10:36,149,160,"3,778",317,
 false,Running,"Tue, 3 Nov 2015 7:35 PM",30:40,2.65,--,11:35,154,173,"4,436",354,
 
