Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Strength Training,"Mon, 13 Jul 2015 7:58 PM",1:30:29,0.22,0,0.1,131,172,--,699,
 false,Running,"Sun, 12 Jul 2015 6:38 PM",56:49,6.22,62,9:08,134,175,"8,846",727,
 false,Running,"Thu, 11 Jun 2015 8:32 PM",20:17,2.58,73,7:51,--,--,--,300,
 false,Running,"Sun, 7 Jun 2015 6:57 PM",57:14,6.24,177,9:10,--,--,--,769,
 false,Running,"Thu, 4 Jun 2015 7:34 PM",32:58,4.11,108,8:01,--,--,--,483,
 false,Running,"Sun, 26 Apr 2015 6:54 PM",30:24,3.13,94,9:42,--,--,--,392,
 false,Running,"Sun, 5 Apr 2015 6:57 PM",42:29,3.97,117,10:42,--,--,--,532,
 false,Running,"Sun, 29 Mar 2015 6:10 PM",10:12,0.98,50,10:26,--,--,--,131,
 false,Running,"Sun, 22 Mar 2015 6:37 AM",33:29,3.11,186,10:46,--,--,--,417,
 false,Indoor Cycling,"Fri, 27 Feb 2015 9:00 PM",20:00,4.97,--,14.9,--,--,--,219,
 false,Swimming,"Wed, 25 Feb 2015 8:30 AM",30:00,0.31,--,0.6,--,--,--,203,
 false,Running,"Sun, 15 Feb 2015 7:00 AM",37:29,3.13,99,11:58,--,--,--,424,
 false,Running,"Sun, 8 Feb 2015 6:25 AM",1:27:39,8.05,"1,943",10:54,--,--,--,"1,080",
 false,Running,"Sat, 7 Feb 2015 7:16 AM",28:13,3.13,88,9:01,--,--,--,406,
 false,Running,"Sun, 1 Feb 2015 6:02 PM",32:27,3.31,107,9:48,--,--,--,439,
 false,Running,"Mon, 26 Jan 2015 6:51 AM",15:11,1.43,183,10:38,--,--,--,191,
 false,Running,"Sun, 18 Jan 2015 6:07 AM",1:47:46,13.42,"328,084",8:02,--,--,--,"1,661",
 false,Running,"Sun, 11 Jan 2015 7:02 AM",1:51:21,11.25,330,9:54,--,--,--,"1,478",
 false,Running,"Tue, 30 Dec 2014 12:11 PM",27:52,3.13,144,8:55,--,--,--,400,
 false,Running,"Sun, 28 Dec 2014 12:06 PM",48:58,5.22,213,9:23,--,--,--,676,
 
