Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Cardio,"Fri, 15 Jul 2016 8:22 PM",1:35:06,0.00,--,0.0,108,176,--,812,
 false,Cardio,"Thu, 14 Jul 2016 8:39 PM",1:23:44,0.00,--,0.0,123,183,--,962,
 false,Running,"Wed, 13 Jul 2016 9:17 PM",33:07,3.05,--,10:51,141,159,--,476,
 false,Cardio,"Wed, 13 Jul 2016 8:31 PM",29:46,0.00,--,0.0,94,142,--,200,
 false,Cardio,"Tue, 12 Jul 2016 8:46 PM",50:10,0.00,--,0.0,118,165,--,539,
 false,Cardio,"Mon, 11 Jul 2016 9:19 PM",25:48,0.00,--,0.0,110,143,--,241,
 false,Cardio,"Mon, 11 Jul 2016 8:42 PM",19:31,0.00,--,0.0,105,144,--,165,
 false,Running,"Mon, 11 Jul 2016 8:29 PM",12:50,1.40,--,9:11,133,153,--,163,
 false,Cardio,"Sat, 9 Jul 2016 6:35 PM",1:22:42,5.18,--,3.8,118,158,--,887,
 false,Cardio,"Fri, 8 Jul 2016 6:41 PM",1:00:05,3.76,--,3.8,112,133,--,587,
 false,Cardio,"Thu, 7 Jul 2016 11:05 AM",1:49:19,6.85,--,3.8,122,175,--,"1,250",
 false,Cardio,"Wed, 6 Jul 2016 9:50 PM",1:01:54,3.88,--,3.8,93,142,--,407,
 false,Cardio,"Tue, 5 Jul 2016 8:10 PM",1:26:26,5.42,--,3.8,100,134,--,674,
 false,Cardio,"Tue, 5 Jul 2016 6:50 PM",1:07:58,4.26,--,3.8,113,160,--,674,
 false,Cardio,"Mon, 4 Jul 2016 8:42 PM",2:10:45,8.19,--,3.8,118,157,--,"1,405",
 false,Cardio,"Sat, 2 Jul 2016 1:20 PM",1:47:08,6.71,--,3.8,113,146,--,"1,046",
 false,Cardio,"Mon, 27 Jun 2016 8:32 PM",2:13:39,8.37,--,3.8,124,181,--,"1,567",
 false,Cardio,"Sat, 25 Jun 2016 7:58 PM",2:03:22,7.73,--,3.8,108,157,--,"1,123",
 false,Cardio,"Fri, 17 Jun 2016 6:35 PM",1:20:06,5.02,--,3.8,106,174,--,693,
 false,Cardio,"Thu, 16 Jun 2016 9:05 PM",51:47,3.24,--,3.8,104,141,--,434,
 
