Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Strength Training,"Mon, 2 Nov 2015 8:07 PM",1:47:12,0.76,--,0.4,116,155,"1,580",965,
 false,Running,"Sun, 1 Nov 2015 6:33 AM",1:57:13,11.81,125,9:55,150,162,"18,250","1,430",
 false,Treadmill Running,"Sat, 31 Oct 2015 4:30 PM",33:30,3.34,0,10:02,162,169,"5,272",449,
 false,Strength Training,"Sat, 31 Oct 2015 1:57 PM",2:16:10,0.00,0,0.0,119,157,--,735,
 false,Elliptical,"Fri, 30 Oct 2015 7:38 PM",30:16,0.00,0,0.0,99,110,"1,328",142,
 false,Strength Training,"Thu, 29 Oct 2015 8:01 PM",1:39:52,0.00,0,0.0,99,146,--,389,
 false,Treadmill Running,"Wed, 28 Oct 2015 9:51 PM",27:28,2.49,0,11:02,152,158,"4,220",339,
 false,Running,"Sun, 25 Oct 2015 6:30 AM",2:58:03,16.16,144,11:01,149,164,"27,220","1,772",
 false,Lap Swimming,"Fri, 23 Oct 2015 7:06 PM",4:24,200 m,--,2:12 min/100 m,--,--,--,44,
 false,Treadmill Running,"Tue, 20 Oct 2015 7:26 PM",35:09,2.64,--,13:20,134,159,"4,518",386,
 false,Running,"Mon, 19 Oct 2015 7:28 PM",1:55:19,1.03,--,--:--,114,157,"2,136",998,
 false,Running,"Sun, 18 Oct 2015 6:41 PM",2:45:39,14.30,49,11:35,142,160,"24,364","1,409",
 false,Running,"Sat, 17 Oct 2015 12:00 PM",2:15:04,1.04,--,--:--,114,148,"2,162","1,166",
 false,Strength Training,"Wed, 14 Oct 2015 8:01 PM",2:25:46,0.97,--,0.4,111,153,"1,970","1,031",
 false,Walking,"Tue, 13 Oct 2015 7:42 PM",10:34,0.64,--,16:36,0,0,"1,074",80,
 false,Strength Training,"Mon, 12 Oct 2015 7:55 PM",1:39:26,1.00,--,0.6,127,166,"2,064","1,004",
 false,Running,"Sun, 11 Oct 2015 6:48 PM",9:42,0.85,10,11:26,124,142,"1,392",80,
 false,Running,"Sat, 10 Oct 2015 12:49 PM",1:47:42,0.74,--,--:--,114,148,"1,542",923,
 false,Running,"Fri, 9 Oct 2015 5:38 PM",41:05,3.55,--,11:35,149,172,"5,944",524,
 false,Strength Training,"Wed, 7 Oct 2015 8:33 PM",1:40:11,0.57,--,0.3,116,150,"1,184",890,
 
