Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Strength Training,"Thu, 6 Apr 2017 10:43 PM",1:09:02,0.00,0,0.0,119,163,--,597,
 false,Strength Training,"Tue, 4 Apr 2017 10:36 PM",54:37,0.00,0,0.0,117,155,--,474,
 false,Strength Training,"Sun, 2 Apr 2017 10:46 PM",1:12:20,0.00,0,0.0,116,159,--,601,
 false,Strength Training,"Tue, 28 Mar 2017 11:02 PM",42:11,0.00,0,0.0,99,142,--,257,
 false,Strength Training,"Mon, 27 Mar 2017 11:17 PM",45:42,0.00,0,0.0,120,165,--,412,
 false,Strength Training,"Sat, 18 Mar 2017 7:11 PM",42:14,0.00,0,0.0,121,143,--,397,
 false,Strength Training,"Fri, 17 Mar 2017 9:17 PM",41:15,0.00,0,0.0,116,160,--,378,
 false,Strength Training,"Fri, 3 Mar 2017 8:55 PM",1:05:18,0.00,0,0.0,107,150,--,455,
 false,Strength Training,"Wed, 1 Mar 2017 9:42 PM",1:35:59,0.00,0,0.0,110,158,--,648,
 false,Running,"Tue, 28 Feb 2017 5:10 AM",2:10,0.00,0,--:--,61,67,--,3,
 false,Strength Training,"Tue, 21 Feb 2017 10:55 PM",1:04:53,0.00,0,0.0,116,170,--,469,
 false,Strength Training,"Sun, 19 Feb 2017 10:49 PM",1:13:34,0.00,0,0.0,124,170,--,585,
 false,Running,"Sat, 18 Feb 2017 7:00 PM",23:28,2.67,157,8:48,159,174,"3,722",323,
 false,Strength Training,"Tue, 14 Feb 2017 9:07 PM",55:25,0.00,0,0.0,124,150,--,462,
 false,Strength Training,"Sun, 12 Feb 2017 10:38 PM",1:24:44,0.00,0,0.0,115,160,--,562,
 false,Strength Training,"Tue, 7 Feb 2017 11:05 PM",54:26,0.00,0,0.0,128,155,--,510,
 false,Strength Training,"Sun, 5 Feb 2017 10:56 PM",1:04:59,0.00,0,0.0,114,170,--,451,
 false,Running,"Sat, 4 Feb 2017 1:29 PM",56:58,6.23,272,9:09,159,178,"8,974",783,
 false,Strength Training,"Fri, 3 Feb 2017 8:43 PM",1:05:54,0.00,0,0.0,98,132,--,331,
 false,Treadmill Running,"Thu, 2 Feb 2017 10:06 PM",24:36,2.62,0,9:23,151,170,"3,800",319,
 
