Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Cycling,"Fri, 6 Jan 2017 1:25 PM",20:09,3.67,121,10.9,128,161,--,214,
 false,Running,"Thu, 5 Jan 2017 9:23 AM",14:27,1.58,46,9:08,161,173,"2,294",222,
 false,Cycling,"Thu, 5 Jan 2017 8:54 AM",28:26,4.91,203,10.4,135,167,--,344,
 false,Strength Training,"Wed, 4 Jan 2017 10:56 PM",1:00:11,0.00,0,0.0,118,153,--,500,
 false,Strength Training,"Mon, 2 Jan 2017 10:53 PM",1:02:07,0.00,0,0.0,114,160,--,483,
 false,Cycling,"Sun, 1 Jan 2017 12:36 AM",56:17,6.33,128,6.7,129,170,--,488,
 false,Cycling,"Tue, 27 Dec 2016 10:35 PM",23:19,2.98,59,7.7,130,165,--,267,
 false,Cycling,"Tue, 27 Dec 2016 1:45 PM",25:18,4.11,121,9.7,134,169,--,300,
 false,Cycling,"Tue, 27 Dec 2016 9:38 AM",27:15,3.36,92,7.4,128,154,--,292,
 false,Cycling,"Sun, 25 Dec 2016 5:09 PM",27:40,4.13,95,9.0,146,164,--,379,
 false,Cycling,"Sun, 25 Dec 2016 3:05 PM",28:40,2.62,20,5.5,149,163,--,404,
 false,Cycling,"Sun, 25 Dec 2016 2:14 PM",49:49,8.16,7,9.8,142,167,--,635,
 false,Strength Training,"Fri, 23 Dec 2016 5:48 PM",55:11,0.00,0,0.0,100,151,--,335,
 false,Cycling,"Thu, 22 Dec 2016 1:06 AM",34:08,6.79,105,11.9,146,158,--,470,
 false,Cycling,"Thu, 22 Dec 2016 12:19 AM",46:13,7.06,13,9.2,144,163,--,609,
 false,Strength Training,"Wed, 21 Dec 2016 10:39 PM",1:11:38,0.00,0,0.0,101,153,--,431,
 false,Strength Training,"Tue, 20 Dec 2016 10:12 PM",1:26:48,0.00,0,0.0,107,160,--,547,
 false,Cycling,"Tue, 20 Dec 2016 2:27 PM",31:32,4.33,131,8.2,129,157,--,353,
 false,Cycling,"Tue, 20 Dec 2016 12:30 PM",24:44,3.46,95,8.4,113,128,--,206,
 false,Strength Training,"Mon, 19 Dec 2016 8:02 PM",1:26:53,0.00,0,0.0,111,157,--,609,
 
