Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Running,"Sun, 21 Dec 2014 10:47 AM",1:33:44,9.33,329,10:03,--,--,--,"1,230",
 false,Running,"Sun, 14 Dec 2014 6:06 PM",1:09:59,8.25,237,8:29,--,--,--,"1,040",
 false,Running,"Sun, 14 Dec 2014 6:56 AM",25:50,2.88,105,8:58,--,--,--,369,
 false,Running,"Sun, 7 Dec 2014 6:14 AM",2:14:27,13.19,543,10:12,--,--,--,"1,740",
 false,Running,"Sat, 29 Nov 2014 6:30 PM",46:00,3.66,114,12:34,--,--,--,482,
 false,Running,"Sun, 23 Nov 2014 7:11 AM",1:48:30,13.30,750,8:09,--,--,--,"1,646",
 false,Running,"Tue, 18 Nov 2014 7:00 PM",15:32,1.91,82,8:07,--,--,--,236,
 false,Running,"Sun, 16 Nov 2014 11:03 AM",1:27:31,8.71,317,10:03,--,--,--,"1,148",
 false,Running,"Sat, 15 Nov 2014 11:54 AM",26:01,3.13,112,8:18,--,--,--,391,
 false,Walking,"Wed, 12 Nov 2014 8:27 PM",32:24,3.87,136,8:23,--,--,--,485,
 false,Walking,"Sun, 9 Nov 2014 8:42 PM",34:35,2.02,95,17:07,--,--,--,221,
 false,Running,"Sun, 9 Nov 2014 5:34 PM",1:23:35,8.73,206,9:35,--,--,--,"1,137",
 false,Running,"Sun, 9 Nov 2014 6:36 AM",40:28,4.06,95,9:59,--,--,--,534,
 false,Running,"Sat, 8 Nov 2014 7:34 AM",46:59,4.99,261,9:25,--,--,--,647,
 false,Running,"Sun, 19 Oct 2014 6:04 AM",1:47:52,11.51,455,9:22,--,--,--,"1,546",
 false,Running,"Sat, 18 Oct 2014 7:40 AM",44:57,4.76,256,9:27,--,--,--,640,
 false,Running,"Wed, 15 Oct 2014 6:13 PM",28:04,2.74,195,10:15,--,--,--,375,
 false,Running,"Sun, 12 Oct 2014 8:05 PM",32:51,2.25,101,14:36,--,--,--,286,
 false,Running,"Sun, 12 Oct 2014 5:53 PM",36:47,3.73,270,9:52,--,--,--,508,
 false,Running,"Sun, 12 Oct 2014 5:52 AM",20:46,2.18,133,9:33,--,--,--,294,
 
