Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Running,"Sat, 19 Mar 2016 6:13 PM",11:45,1.41,--,8:21,138,152,--,156,
 false,Cardio,"Sat, 19 Mar 2016 5:45 PM",20:08,0.00,--,0.0,125,143,--,233,
 false,Running,"Sat, 19 Mar 2016 5:33 PM",10:08,1.22,--,8:18,140,155,--,137,
 false,Cardio,"Sat, 19 Mar 2016 5:19 PM",10:05,0.00,--,0.0,125,136,--,116,
 false,Cardio,"Sat, 19 Mar 2016 5:07 PM",10:01,0.00,--,0.0,115,126,--,98,
 false,Running,"Sat, 19 Mar 2016 4:58 PM",7:38,0.90,--,8:27,141,158,--,104,
 false,Cardio,"Sat, 19 Mar 2016 4:43 PM",10:04,0.00,--,0.0,120,131,--,106,
 false,Cardio,"Sat, 19 Mar 2016 4:31 PM",10:01,0.00,--,0.0,100,146,--,73,
 false,Running,"Fri, 11 Mar 2016 7:06 PM",1:28:20,5.32,--,16:37,0,0,"8,674",713,
 false,Strength Training,"Wed, 9 Mar 2016 6:17 PM",1:30:04,1.36,--,0.9,0,0,"2,814",207,
 false,Strength Training,"Tue, 8 Mar 2016 7:34 PM",7:45,0.00,--,0.0,0,0,8,11,
 false,Strength Training,"Tue, 8 Mar 2016 7:06 PM",25:06,0.03,--,0.1,0,0,58,39,
 false,Strength Training,"Mon, 7 Mar 2016 6:10 PM",1:35:00,0.78,--,0.5,0,0,"1,622",183,
 false,Running,"Sat, 5 Mar 2016 6:32 AM",1:04:17,6.22,79,10:20,--,--,"9,916",858,
 false,Running,"Thu, 3 Mar 2016 9:06 PM",8:32,0.00,--,--:--,0,0,0,12,
 false,Strength Training,"Thu, 3 Mar 2016 7:34 PM",1:30:04,0.55,--,0.4,0,0,"1,154",162,
 false,Strength Training,"Wed, 2 Mar 2016 8:23 PM",1:51:57,1.11,--,0.6,0,0,"2,312",223,
 false,Running,"Tue, 1 Mar 2016 9:32 PM",7:57,0.00,--,--:--,0,0,0,11,
 false,Running,"Tue, 1 Mar 2016 7:53 PM",3:08,0.00,--,--:--,0,0,0,4,
 false,Strength Training,"Tue, 1 Mar 2016 7:18 PM",25:02,0.05,--,0.1,0,0,100,39,
 
