Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Running,"Sat, 6 Aug 2016 8:46 PM",25:24,2.80,--,9:05,139,156,--,346,
 false,Cardio,"Sat, 6 Aug 2016 8:22 PM",21:01,0.00,--,0.0,111,147,--,194,
 false,Cardio,"Sat, 6 Aug 2016 7:55 PM",23:56,0.00,--,0.0,117,149,--,244,
 false,Running,"Sat, 6 Aug 2016 7:31 PM",23:11,2.40,--,9:39,134,155,--,299,
 false,Cardio,"Fri, 5 Aug 2016 8:39 PM",1:24:17,0.00,--,0.0,121,175,--,926,
 false,Running,"Wed, 3 Aug 2016 8:51 PM",36:43,3.61,--,10:11,148,173,--,559,
 false,Running,"Wed, 3 Aug 2016 8:41 PM",6:42,0.72,--,9:22,121,137,--,70,
 false,Running,"Tue, 2 Aug 2016 9:54 PM",7:31,0.87,--,8:36,139,163,--,100,
 false,Cardio,"Tue, 2 Aug 2016 8:35 PM",1:18:08,0.00,--,0.0,105,149,--,661,
 false,Cardio,"Sat, 30 Jul 2016 8:35 PM",17:11,0.00,--,0.0,101,131,--,134,
 false,Cardio,"Thu, 28 Jul 2016 7:26 PM",1:23:18,0.00,--,0.0,114,167,--,833,
 false,Cardio,"Wed, 27 Jul 2016 9:17 PM",41:10,0.00,--,0.0,124,152,--,483,
 false,Running,"Tue, 26 Jul 2016 8:41 PM",35:20,3.97,--,8:54,147,166,--,541,
 false,Cardio,"Mon, 25 Jul 2016 8:47 PM",1:14:11,0.00,--,0.0,112,147,--,717,
 false,Cardio,"Sat, 23 Jul 2016 8:13 PM",1:56:35,0.00,--,0.0,123,178,--,"1,341",
 false,Cardio,"Fri, 22 Jul 2016 8:50 PM",37:41,0.00,--,0.0,111,135,--,359,
 false,Cardio,"Wed, 20 Jul 2016 9:06 PM",1:03:28,0.00,--,0.0,121,157,--,710,
 false,Cardio,"Tue, 19 Jul 2016 8:26 PM",1:37:07,0.00,--,0.0,116,166,--,"1,000",
 false,Cardio,"Mon, 18 Jul 2016 8:51 PM",1:13:57,0.00,--,0.0,124,163,--,860,
 false,Cardio,"Sat, 16 Jul 2016 8:41 PM",1:05:58,0.00,--,0.0,113,154,--,651,
 
