Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Strength Training,"Fri, 18 Dec 2015 6:05 PM",1:46:17,1.51,--,0.9,117,154,"3,086",965,
 false,Running,"Thu, 17 Dec 2015 8:23 PM",9:26,0.87,--,10:52,145,153,"1,428",105,
 false,Running,"Thu, 17 Dec 2015 7:49 PM",31:20,3.74,13,8:23,150,162,"5,078",402,
 false,Running,"Thu, 17 Dec 2015 7:34 PM",9:10,0.94,10,9:43,134,148,"1,446",100,
 false,Strength Training,"Wed, 16 Dec 2015 8:49 PM",1:33:25,0.46,--,0.3,0,0,950,162,
 false,Indoor Cycling,"Mon, 14 Dec 2015 9:08 PM",17:11,0.01,--,0.1,0,0,32,25,
 false,Strength Training,"Mon, 14 Dec 2015 7:35 PM",1:21:11,0.67,--,0.5,0,0,"1,404",155,
 false,Running,"Sat, 12 Dec 2015 6:30 AM",53:03,6.34,92,8:22,--,--,"8,736",848,
 false,Running,"Thu, 10 Dec 2015 8:27 PM",10:14,0.94,--,10:55,137,146,"1,536",108,
 false,Running,"Thu, 10 Dec 2015 7:30 PM",50:03,5.60,30,8:56,153,166,"8,082",650,
 false,Strength Training,"Wed, 9 Dec 2015 8:13 PM",1:51:11,0.62,--,0.3,120,160,"1,286","1,053",
 false,Strength Training,"Mon, 7 Dec 2015 7:57 PM",1:58:04,1.27,--,0.6,112,149,"2,608",999,
 false,Running,"Sun, 6 Dec 2015 5:39 AM",2:24:21,13.98,151,10:19,--,--,"22,796","1,866",
 false,Running,"Sat, 5 Dec 2015 6:44 AM",27:12,3.11,36,8:45,--,--,"4,410",408,
 false,Running,"Sun, 29 Nov 2015 7:11 AM",1:55:23,13.11,16,8:48,--,--,"18,708","1,771",
 false,Running,"Thu, 26 Nov 2015 8:53 PM",24:35,2.36,0,10:24,--,--,"3,894",312,
 false,Cardio,"Wed, 25 Nov 2015 9:18 PM",2:37,0.00,--,0.0,0,0,0,3,
 false,Cardio,"Wed, 25 Nov 2015 9:11 PM",2:07,0.00,--,0.0,0,0,0,3,
 false,Cardio,"Wed, 25 Nov 2015 8:55 PM",2:07,0.00,--,0.0,0,0,0,3,
 false,Treadmill Running,"Tue, 24 Nov 2015 7:29 PM",18:32,1.83,0,10:08,--,--,"2,988",246,
 
