Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Cycling,"Sat, 17 Dec 2016 9:33 PM",39:42,5.24,190,7.9,114,140,--,309,
 false,Indoor Cycling,"Fri, 16 Dec 2016 9:15 PM",16:17,0.00,0,0.0,116,126,--,148,
 false,Treadmill Running,"Fri, 16 Dec 2016 8:27 PM",25:46,2.01,13,12:51,128,155,"3,374",266,
 false,Strength Training,"Thu, 15 Dec 2016 10:43 PM",1:18:13,0.00,0,0.0,113,158,--,592,
 false,Cycling,"Fri, 9 Dec 2016 12:04 AM",33:24,6.31,262,11.3,161,177,--,511,
 false,Strength Training,"Thu, 8 Dec 2016 9:17 PM",57:48,0.00,0,0.0,131,174,--,564,
 false,Cycling,"Sun, 4 Dec 2016 11:57 PM",36:47,6.74,292,11.0,157,183,--,538,
 false,Strength Training,"Sat, 3 Dec 2016 10:05 PM",48:03,0.00,0,0.0,120,157,--,444,
 false,Indoor Rowing,"Fri, 2 Dec 2016 3:10 AM",15:15,0.00,--,0.0,93,152,--,87,
 false,Cycling,"Thu, 1 Dec 2016 7:23 PM",34:01,4.99,180,8.8,127,166,--,363,
 false,Cycling,"Thu, 1 Dec 2016 6:27 PM",35:53,4.10,52,6.8,109,123,--,261,
 false,Strength Training,"Wed, 30 Nov 2016 10:50 PM",1:08:46,0.00,0,0.0,113,161,--,503,
 false,Indoor Rowing,"Sun, 27 Nov 2016 6:19 PM",4:28,0.00,--,0.0,82,106,--,18,
 false,Strength Training,"Wed, 23 Nov 2016 6:24 PM",57:02,0.00,0,0.0,115,156,--,446,
 false,Running,"Mon, 21 Nov 2016 10:52 PM",42:18,3.92,--,10:48,130,157,--,515,
 false,Running,"Mon, 21 Nov 2016 12:58 AM",:30,0.00,--,--:--,100,107,--,3,
 false,Other,"Tue, 8 Nov 2016 9:33 PM",1:15:00,--,--,--,108,151,--,659,
 false,Other,"Thu, 3 Nov 2016 10:33 PM",1:19:38,--,--,--,107,148,--,689,
 false,Other,"Tue, 1 Nov 2016 10:49 PM",1:14:30,--,--,--,113,146,--,716,
 false,Other,"Sun, 30 Oct 2016 11:48 PM",1:08:29,--,--,--,124,166,--,772,
 
