Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Cardio,"Mon, 25 Apr 2016 8:50 PM",1:34:11,0.00,--,0.0,122,173,--,"1,050",
 false,Running,"Sun, 24 Apr 2016 6:44 PM",46:44,4.78,105,9:47,--,--,"7,282",636,
 false,Cardio,"Sat, 23 Apr 2016 8:37 PM",1:31:42,0.00,--,0.0,110,151,--,849,
 false,Cardio,"Sat, 23 Apr 2016 8:14 AM",1:02:57,0.00,--,0.0,85,119,--,328,
 false,Running,"Fri, 22 Apr 2016 7:18 PM",39:30,4.01,--,9:51,137,159,--,532,
 false,Cardio,"Wed, 20 Apr 2016 8:39 PM",1:34:01,5.86,--,3.7,113,176,--,909,
 false,Cardio,"Mon, 18 Apr 2016 9:07 PM",8:01,0.00,--,0.0,100,115,--,59,
 false,Cardio,"Mon, 18 Apr 2016 7:17 PM",1:45:52,0.00,--,0.0,128,177,--,"1,288",
 false,Cardio,"Sat, 16 Apr 2016 8:14 PM",1:56:33,0.00,--,0.0,112,168,--,"1,107",
 false,Cardio,"Sat, 16 Apr 2016 8:20 AM",1:52:03,0.00,--,0.0,100,152,--,851,
 false,Cardio,"Fri, 15 Apr 2016 9:07 PM",15:02,0.00,--,0.0,111,120,--,138,
 false,Running,"Fri, 15 Apr 2016 8:49 PM",12:15,1.47,--,8:19,149,161,--,185,
 false,Cardio,"Fri, 15 Apr 2016 8:32 PM",15:04,0.00,--,0.0,117,134,--,153,
 false,Running,"Fri, 15 Apr 2016 8:18 PM",12:17,1.45,--,8:28,148,157,--,183,
 false,Other,"Wed, 13 Apr 2016 10:32 PM",8:02,0.00,--,0.0,82,90,--,36,
 false,Cardio,"Wed, 13 Apr 2016 8:37 PM",1:51:38,0.00,--,0.0,100,149,--,856,
 false,Cardio,"Tue, 12 Apr 2016 8:11 PM",1:11:38,0.00,--,0.0,105,140,--,599,
 false,Cardio,"Tue, 12 Apr 2016 7:32 PM",20:05,0.00,--,0.0,127,138,--,237,
 false,Running,"Tue, 12 Apr 2016 7:12 PM",19:27,2.24,--,8:40,154,170,--,314,
 false,Cardio,"Tue, 12 Apr 2016 6:46 PM",20:04,0.00,--,0.0,127,164,--,237,
 
