Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Cardio,"Mon, 13 Jun 2016 9:30 PM",56:21,3.53,--,3.8,123,174,--,647,
 false,Cardio,"Sun, 12 Jun 2016 7:40 AM",1:13:41,4.62,--,3.8,135,166,--,995,
 false,Cardio,"Sat, 11 Jun 2016 7:04 PM",1:34:03,5.89,--,3.8,114,147,--,951,
 false,Cardio,"Fri, 10 Jun 2016 6:14 PM",1:42:25,6.42,--,3.8,110,166,--,953,
 false,Cardio,"Thu, 9 Jun 2016 8:20 PM",1:56:46,7.31,--,3.8,116,168,--,"1,215",
 false,Cardio,"Mon, 6 Jun 2016 8:43 PM",1:24:32,0.00,--,0.0,128,170,--,"1,042",
 false,Cardio,"Sat, 4 Jun 2016 7:40 PM",1:41:49,0.00,--,0.0,109,166,--,948,
 false,Cardio,"Sat, 4 Jun 2016 5:04 PM",2:06:03,0.00,--,0.0,128,174,--,"1,556",
 false,Cardio,"Thu, 2 Jun 2016 8:44 PM",1:52:55,0.00,--,0.0,121,161,--,"1,263",
 false,Cardio,"Sat, 28 May 2016 8:30 PM",1:15:20,0.00,--,0.0,112,157,--,731,
 false,Cardio,"Fri, 27 May 2016 7:34 PM",3:23:57,0.00,--,0.0,106,184,--,"1,767",
 false,Cardio,"Tue, 24 May 2016 10:21 PM",20:05,0.00,--,0.0,112,131,--,193,
 false,Cardio,"Mon, 23 May 2016 8:40 PM",2:05:48,0.00,--,0.0,116,166,--,"1,315",
 false,Cardio,"Sat, 21 May 2016 7:49 PM",1:49:52,0.00,--,0.0,111,160,--,"1,044",
 false,Cardio,"Fri, 20 May 2016 8:09 PM",1:22:27,0.00,--,0.0,109,156,--,754,
 false,Cardio,"Fri, 20 May 2016 6:58 PM",25:05,0.00,--,0.0,97,148,--,180,
 false,Cardio,"Thu, 19 May 2016 8:10 PM",1:02:40,0.00,--,0.0,106,156,--,548,
 false,Cardio,"Wed, 18 May 2016 8:22 PM",1:29:09,0.00,--,0.0,109,170,--,815,
 false,Cardio,"Tue, 17 May 2016 7:09 PM",25:01,1.56,--,3.7,122,147,--,284,
 false,Cardio,"Mon, 16 May 2016 8:47 PM",1:52:45,7.02,--,3.7,117,182,--,"1,178",
 
