Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Running,"Tue, 12 Apr 2016 6:29 PM",16:34,1.86,--,8:54,148,167,--,248,
 false,Other,"Mon, 11 Apr 2016 10:53 PM",7:46,0.00,--,0.0,88,109,--,42,
 false,Cardio,"Mon, 11 Apr 2016 9:11 PM",1:38:29,0.00,--,0.0,124,171,--,"1,138",
 false,Other,"Sat, 9 Apr 2016 8:06 PM",8:02,0.50,--,3.8,92,105,--,49,
 false,Cardio,"Sat, 9 Apr 2016 6:07 PM",1:55:01,7.20,--,3.8,118,171,--,"1,213",
 false,Running,"Fri, 8 Apr 2016 7:38 PM",15:11,1.43,--,10:36,140,160,--,209,
 false,Cardio,"Fri, 8 Apr 2016 7:17 PM",15:05,0.00,--,0.0,89,130,--,87,
 false,Running,"Fri, 8 Apr 2016 7:04 PM",12:33,1.44,--,8:41,152,159,--,195,
 false,Cardio,"Fri, 8 Apr 2016 6:47 PM",15:02,0.00,--,0.0,106,171,--,125,
 false,Running,"Fri, 8 Apr 2016 6:34 PM",12:57,1.42,--,9:09,151,165,--,205,
 false,Cardio,"Fri, 8 Apr 2016 6:17 PM",15:01,0.00,--,0.0,119,175,--,157,
 false,Running,"Fri, 8 Apr 2016 6:02 PM",14:24,1.54,--,9:22,147,157,--,215,
 false,Cardio,"Fri, 8 Apr 2016 5:45 PM",15:03,0.00,--,0.0,94,151,--,99,
 false,Cardio,"Thu, 7 Apr 2016 9:12 PM",1:49:40,0.00,--,0.0,120,163,--,"1,202",
 false,Cardio,"Wed, 6 Apr 2016 9:34 PM",8:04,0.00,--,0.0,93,108,--,51,
 false,Cardio,"Wed, 6 Apr 2016 7:51 PM",1:38:30,0.00,--,0.0,93,137,--,639,
 false,Cardio,"Tue, 5 Apr 2016 8:18 PM",58:55,0.00,--,0.0,114,145,--,577,
 false,Strength Training,"Tue, 5 Apr 2016 6:17 PM",1:20:53,0.00,--,0.0,120,159,--,884,
 false,Cardio,"Sun, 3 Apr 2016 11:46 AM",14:58,0.00,--,0.0,94,142,--,98,
 false,Strength Training,"Sun, 3 Apr 2016 9:58 AM",1:47:24,0.00,--,0.0,83,143,--,526,
 
