Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Strength Training,"Thu, 31 Mar 2016 8:16 PM",1:21:34,0.00,--,0.0,125,173,--,950,
 false,Strength Training,"Wed, 30 Mar 2016 7:58 PM",1:20:12,0.00,--,0.0,110,171,--,743,
 false,Other,"Tue, 29 Mar 2016 7:49 PM",6:39,0.00,--,0.0,79,95,--,12,
 false,Cardio,"Tue, 29 Mar 2016 7:29 PM",15:04,0.00,--,0.0,119,132,--,159,
 false,Running,"Tue, 29 Mar 2016 6:55 PM",33:02,3.83,--,8:38,149,162,--,513,
 false,Strength Training,"Sat, 26 Mar 2016 4:25 PM",1:23:40,0.00,--,0.0,120,160,--,904,
 false,Strength Training,"Fri, 25 Mar 2016 8:09 PM",1:07:53,0.00,--,0.0,100,151,--,514,
 false,Running,"Fri, 25 Mar 2016 7:23 PM",34:22,3.87,--,8:53,139,158,--,474,
 false,Cardio,"Fri, 25 Mar 2016 6:48 PM",30:30,0.00,--,0.0,109,140,--,275,
 false,Strength Training,"Thu, 24 Mar 2016 9:02 PM",1:23:22,0.00,--,0.0,110,159,--,774,
 false,Strength Training,"Wed, 23 Mar 2016 8:00 PM",1:32:12,0.00,--,0.0,110,148,--,857,
 false,Strength Training,"Tue, 22 Mar 2016 8:06 PM",1:00:09,0.00,--,0.0,103,143,--,490,
 false,Cardio,"Tue, 22 Mar 2016 7:46 PM",7:34,0.00,--,0.0,77,81,--,12,
 false,Running,"Tue, 22 Mar 2016 7:33 PM",11:19,1.24,--,9:07,141,160,--,158,
 false,Cardio,"Tue, 22 Mar 2016 7:02 PM",28:13,0.00,--,0.0,101,148,--,224,
 false,Strength Training,"Mon, 21 Mar 2016 8:04 PM",1:49:23,3.43,--,1.9,100,165,--,837,
 false,Cardio,"Mon, 21 Mar 2016 10:41 AM",20:04,0.63,--,1.9,127,143,--,236,
 false,Running,"Mon, 21 Mar 2016 10:30 AM",10:52,1.17,--,9:17,132,157,--,138,
 false,Running,"Sun, 20 Mar 2016 6:00 PM",33:04,3.65,36,9:03,159,180,"5,130",481,
 false,Strength Training,"Sat, 19 Mar 2016 8:48 PM",1:46:49,0.00,--,0.0,115,157,--,"1,079",
 
