Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Treadmill Running,"Tue, 6 Oct 2015 7:35 PM",30:38,2.74,--,11:11,160,174,"4,550",385,
 false,Strength Training,"Mon, 5 Oct 2015 7:24 PM",1:31:21,0.82,--,0.5,120,156,"1,702",854,
 false,Running,"Sun, 4 Oct 2015 7:27 PM",1:20:49,8.71,75,9:17,--,--,"12,788","1,107",
 false,Running,"Sun, 4 Oct 2015 9:27 AM",43:29,4.36,39,9:59,--,--,"6,672",579,
 false,Strength Training,"Sat, 3 Oct 2015 2:19 PM",2:52:35,1.35,--,0.5,111,154,"2,802","1,252",
 false,Treadmill Running,"Thu, 1 Oct 2015 8:59 PM",32:24,2.66,--,12:10,135,162,"4,532",360,
 false,Treadmill Running,"Tue, 29 Sep 2015 7:33 PM",36:09,2.34,--,15:27,147,177,"3,888",426,
 false,Strength Training,"Mon, 28 Sep 2015 8:24 PM",1:52:12,0.96,--,0.5,122,159,"1,998","1,053",
 false,Running,"Sun, 27 Sep 2015 7:11 PM",1:28:19,7.46,36,11:50,135,154,"12,906",765,
 false,Treadmill Running,"Sat, 26 Sep 2015 1:47 PM",28:58,2.33,--,12:25,138,163,"4,042",331,
 false,Treadmill Running,"Thu, 24 Sep 2015 7:48 PM",45:18,3.42,--,13:14,127,165,"6,050",466,
 false,Treadmill Running,"Wed, 23 Sep 2015 9:31 PM",24:48,1.90,--,13:02,136,155,"3,374",263,
 false,Strength Training,"Wed, 23 Sep 2015 7:31 PM",1:51:51,0.89,--,0.5,125,160,"1,848","1,108",
 false,Treadmill Running,"Tue, 22 Sep 2015 7:25 PM",29:36,2.41,--,12:17,140,170,"4,114",347,
 false,Strength Training,"Sat, 12 Sep 2015 4:58 PM",1:52:00,1.14,--,0.6,0,0,"2,358",223,
 false,Strength Training,"Mon, 7 Sep 2015 7:52 PM",1:35:34,0.00,0,0.0,125,158,--,665,
 false,Strength Training,"Fri, 4 Sep 2015 9:04 PM",48:37,0.00,0,0.0,124,154,--,354,
 false,Strength Training,"Wed, 2 Sep 2015 7:32 PM",1:51:05,0.00,0,0.0,122,156,--,694,
 false,Strength Training,"Mon, 31 Aug 2015 7:21 PM",2:01:05,0.00,0,0.0,128,163,--,826,
 false,Indoor Cycling,"Sat, 29 Aug 2015 8:41 PM",5:50,0.00,0,0.0,100,106,--,29,
 
