Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Running,"Tue, 14 May 2013 6:25 PM",36:56,3.19,133,11:34,--,--,--,440,
 false,Running,"Sat, 23 Mar 2013 5:52 PM",1:10:08,6.21,268,11:17,--,--,--,855,
 false,Running,"Sat, 16 Mar 2013 7:08 PM",7:07,0.63,22,11:18,--,--,--,87,
 false,Running,"Fri, 15 Mar 2013 6:53 PM",36:46,3.14,113,11:43,--,--,--,433,
 false,Running,"Wed, 13 Mar 2013 6:52 PM",30:11,2.58,82,11:41,--,--,--,356,
 false,Running,"Sun, 10 Mar 2013 5:51 PM",1:19:47,6.46,277,12:21,--,--,--,884,
 false,Running,"Sun, 17 Feb 2013 7:05 AM",56:55,6.13,264,9:17,--,--,--,818,
 false,Running,"Wed, 31 Oct 2012 7:12 AM",38:18,3.21,107,11:55,--,--,--,419,
 false,Running,"Mon, 15 Oct 2012 6:10 PM",32:53,2.51,94,13:05,--,--,--,317,
 false,Running,"Sat, 13 Oct 2012 5:38 PM",43:21,3.17,114,13:40,--,--,--,392,
 false,Cycling,"Fri, 12 Oct 2012 7:11 AM",36:09,6.29,241,10.4,--,--,--,305,
 false,Cycling,"Tue, 9 Oct 2012 5:50 PM",49:00,7.28,300,8.9,--,--,--,354,
 false,Cycling,"Fri, 5 Oct 2012 5:53 PM",56:13,7.20,285,7.7,--,--,--,352,
 false,Cycling,"Sun, 9 Sep 2012 6:17 PM",55:51,7.16,319,7.7,--,--,--,248,
 
